"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-deterministic-fixed-step-size"
"10/03/2022 14:39:12:344 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","step-size","r","rw-type","num","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"264","1","3.86","deterministic","79","18219","8.124369406582666","11.46737733201843","18219","994","100","18219"
"269","1","3.86","deterministic","82","11979","7.508140532638973","10.944842392896653","11979","994","100","11979"
"267","1","3.86","deterministic","81","16126","8.322868931225667","15.548266797989509","16126","2013","100","16126"
"268","1","3.86","deterministic","81","18086","7.736883883114434","15.340202415514469","18086","1405","100","18086"
"270","1","3.86","deterministic","82","15684","7.880182188519645","20.117252191605083","15684","1969","100","15684"
"272","1","3.86","deterministic","83","10464","8.126251779212641","20.528758532059925","10464","2862","100","10464"
"271","1","3.86","deterministic","83","15969","8.19261563022866","17.18022880025978","15969","2521","100","15969"
"273","1","3.86","deterministic","84","16626","8.331034479174843","17.778890628660573","16626","1872","100","16626"
"275","1","3.86","deterministic","85","13327","8.341257708113426","20.809000908509248","13327","2679","100","13327"
"274","1","3.86","deterministic","84","15360","8.0941445805385","14.514015667173116","15360","1429","100","15360"
"276","1","3.86","deterministic","85","13855","7.915541156237208","15.32413131856336","13855","1427","100","13855"
"277","1","3.86","deterministic","86","12557","7.992159521434082","19.86105016450221","12557","2525","100","12557"
"278","1","3.86","deterministic","86","14385","8.232227932214597","10.622062770595694","14385","995","100","14385"
"279","1","3.86","deterministic","87","12204","7.850156356342579","17.238552787660392","12204","1404","100","12204"
